1|1|359
0|2|970
2|2|1155
1|0|1441
1|1|2144
1|1|2778
0|0|3361
1|2|3549
2|0|3851
2|1|4521
0|1|4849
1|1|5202
1|2|5706
1|1|5860
1|0|6165
2|2|7269
0|1|7431
2|0|7631
1|2|7919
0|0|8142
2|1|8411
0|2|8623
0|0|8822
1|1|9067
2|2|9363
1|1|9649
0|0|9811
2|0|9985
2|2|10556
1|2|10741
0|2|11025
1|1|11524
2|0|12026
0|2|12380
0|0|12965
0|1|13121
1|2|13434
2|1|14158
1|1|14488
0|1|14812
1|2|15282
2|1|15463
1|1|15804
0|0|16838
1|0|17135
2|0|17425
2|1|17622
1|1|17792
0|1|18005
0|2|18222
1|2|18395
2|2|18610
2|0|18782
2|1|18966
2|2|19133
1|2|19329
0|2|19553
0|1|20158
0|0|20312
0|2|20630
1|1|21404
0|1|21693
0|2|21959
1|2|22544
1|1|22732
1|0|22986
0|1|23782
2|2|24100
2|0|24363
0|2|24931
0|1|25131
1|1|25431
2|0|26189
0|0|26486
1|0|26783
2|0|27039
2|1|27202
1|1|27440
0|1|27653
0|2|27870
1|2|28043
2|2|28258
2|0|28430
2|1|28614
2|2|28781
1|2|28977
0|2|29201
2|1|29757
0|0|29927
1|1|30224
1|1|30950
1|2|31229
2|2|31579
2|1|32215
2|0|32374
1|0|32638
2|1|33394
1|2|33676
0|0|33984
0|1|34549
1|2|34710
2|0|34967
1|1|35695
0|2|36081
0|0|36385
2|0|36533
2|2|36818
1|0|37037
0|1|37177
1|2|37394
2|1|37553
1|1|37770
2|2|37987
2|1|38165
2|0|38393
1|0|38623
1|1|38765
2|2|39344
1|1|39681
0|0|39985
0|1|40241
0|2|40557
1|2|40808
2|0|41184
1|0|41618
0|0|42049
0|2|42380
2|2|42781
1|1|43581
1|2|44175
2|1|44330
0|1|44664
1|0|44945
1|1|45224
1|2|45419
2|1|45847
2|2|46561
0|2|47024
0|2|47767
2|0|47935
0|0|48112
2|2|48223
1|1|48381
1|0|48986
0|1|49198
2|1|49385
1|2|49834
1|1|50112
1|0|50493
1|0|50771
0|2|51198
1|1|51366
0|0|51672
1|0|51952
1|1|52410
1|2|52607
2|2|53173
1|0|53749
0|1|53929
1|1|54190
2|2|54631
1|1|54940
0|0|55207
1|1|55561
1|1|56178
0|1|56795
1|2|57039
2|1|57300
1|0|57673
0|0|57986
0|1|58346
0|2|58834
1|2|59432
2|2|59797
2|1|60327
2|0|60855
1|0|61215
0|0|61599
0|1|62199
1|1|62459
2|2|62767
1|0|63223
0|1|63661
0|2|64211
2|1|64578
1|0|64849
0|0|65221
1|2|65591
2|1|66089
1|1|66642
1|0|66962
2|0|67286
2|1|67568
2|2|68164
1|2|68453
0|2|68713
1|1|69294
2|0|69687
2|2|70569
1|2|70794
2|1|71005
1|1|71343
2|0|71634
1|0|71945
0|0|72303
2|2|72971
1|0|73273
1|1|73611
1|2|74138
2|0|74467
1|1|74861
1|1|75534
0|2|75986
2|0|76154
0|0|76331
2|2|76442
1|1|76600
